Real Item Key,Name,Low Price,Quant. for sale,Supply Ratio,Low HQ,Low NQ,7d Avg,Last Sale,Gil Volume 7d,Sold Last 7d,Avg - Low,Updated
35979,Hippo Calf,"386,395",9,100,,"386,395",,,,,"-386,395",2 hours ago
23989,Scarlet Peacock,"5,248",26,100,,"5,248",,,,,"-5,248",13 hours ago
14094,Wind-up Titan,"45,150",4,100,,"45,150",,,,,"-45,150",14 hours ago
36637,Royal Lunatender,"79,800",20,100,,"79,800",,,,,"-79,800",19 hours ago
14095,Wind-up Leviathan,"16,682",16,100,,"16,682",,,,,"-16,682",20 hours ago
6204,Model Vanguard,"14,700",16,100,,"14,700",,,,,"-14,700",20 hours ago
9349,Mummy's Little Mummy,"2,624",21,100,,"2,624",,,,,"-2,624",20 hours ago
26799,Wind-up Omega-F,"499,830",9,100,,"499,830",,,,,"-499,830",21 hours ago
6174,Tiny Rat,"23,000",14,100,,"23,000",,,,,"-23,000",1 day ago
30870,Magitek Helldiver F1,"735,000",9,100,,"735,000",,,,,"-735,000",1 day ago
30094,Paissa Patissier,"77,671",8,100,,"77,671",,,,,"-77,671",1 day ago
32855,Save the Princess,"142,798",18,100,,"142,798",,,,,"-142,798",1 day ago
28624,Domakin,"1,154,987",4,100,,"1,154,987",,,,,"-1,154,987",1 day ago
6178,Wide-eyed Fawn,423,11,100,,423,,,,,-423,1 day ago
21059,Tengu Doll,367,29,100,,367,,,,,-367,2 days ago
26787,Black Hayate,"367,499",5,100,,"367,499",,,,,"-367,499",2 days ago
13276,Wind-up Illuminatus,"10,500",24,100,,"10,500",,,,,"-10,500",2 days ago
8202,Nutkin,"46,093",16,100,,"46,093",,,,,"-46,093",2 days ago
8196,Mandragora Queen,"28,345",28,100,,"28,345",,,,,"-28,345",2 days ago
6183,Gravel Golem,"4,053",26,100,,"4,053",,,,,"-4,053",2 days ago
38448,Wind-up Scarmiglione,"32,613",23,100,,"32,613",,,,,"-32,613",4 days ago
16568,Dress-up Thancred,"5,240",17,100,,"5,240",,,,,"-5,240",4 days ago
7559,Plush Cushion,"29,400",18,100,,"29,400",,,,,"-29,400",4 days ago
20524,Castaway Chocobo Chick,"2,119",37,100,,"2,119",,,,,"-2,119",4 days ago
26789,Wind-up Fuath,"160,598",7,100,,"160,598",,,,,"-160,598",4 days ago
20537,Wind-up Namazu,"1,890",23,100,,"1,890",,,,,"-1,890",4 days ago
21060,Wind-up Matanga,"1,208",19,100,,"1,208",,,,,"-1,208",4 days ago
17527,Wind-up Estinien,"9,869",13,100,,"9,869",,,,,"-9,869",4 days ago
7567,Tight-beaked Parrot,"3,255",16,100,,"3,255",,,,,"-3,255",4 days ago
21922,The Gold Whisker,"300,035",25,100,,"300,035",,,,,"-300,035",5 days ago
24000,Wind-up Elvaan,"340,200",29,100,,"340,200",,,,,"-340,200",5 days ago
30095,Paissa Threadpuller,"157,491",14,100,,"157,491",,,,,"-157,491",5 days ago
28622,Miniature White Knight,"225,738",5,100,,"225,738",,,,,"-225,738",5 days ago
16570,Dress-up Alisaie,"4,410",18,100,,"4,410",,,,,"-4,410",5 days ago
14093,Wind-up Garuda,"11,541",29,100,,"11,541",,,,,"-11,541",5 days ago
35972,Wind-up Magus Sisters,"151,198",8,100,,"151,198",,,,,"-151,198",5 days ago
6173,Morbol Seedling,52,73,100,,52,,,,,-52,5 days ago
13284,Wind-up Ifrit,"17,849",21,100,,"17,849",,,,,"-17,849",5 days ago
13283,Korpokkur Kid,"15,740",22,100,,"15,740",,,,,"-15,740",5 days ago
6185,Tiny Tortoise,"20,895",11,100,,"20,895",,,,,"-20,895",6 days ago
36852,Wind-up Kangaroo,"47,250",33,100,,"47,250",,,,,"-47,250",6 days ago
12053,Ugly Duckling,"14,763",27,100,,"14,763",,,,,"-14,763",6 days ago
8194,Garlic Jester,"13,125",27,100,,"13,125",,,,,"-13,125",6 days ago
6189,Dust Bunny,"3,148",18,100,,"3,148",,,,,"-3,148",7 days ago
21916,Private Moai,"1,867",31,100,,"1,867",,,,,"-1,867",8 days ago
36860,Blue-footed Booby,"166,950",26,100,,"166,950",,,,,"-166,950",8 days ago
35986,Greener Gleaner,"21,000",33,100,,"21,000",,,,,"-21,000",9 days ago
8193,Eggplant Knight,"31,945",9,100,,"31,945",,,,,"-31,945",9 days ago
30871,Weatherproof Gaelicat,"10,562",22,100,,"10,562",,,,,"-10,562",10 days ago
8192,Onion Prince,"10,993",24,100,,"10,993",,,,,"-10,993",10 days ago
30088,Sungold Talos,"104,475",11,100,,"104,475",,,,,"-104,475",10 days ago
24634,Seitei,801,26,100,,801,,,,,-801,10 days ago
26788,Chameleon,"47,250",16,100,,"47,250",,,,,"-47,250",11 days ago
21918,Wind-up Fafnir,83,36,100,,83,,,,,-83,11 days ago
20531,Road Sparrow,420,16,100,,420,,,,,-420,12 days ago
14100,Morpho,"18,963",17,100,,"18,963",,,,,"-18,963",12 days ago
14103,Fenrir Pup,"17,410",35,100,,"17,410",,,,,"-17,410",12 days ago
21915,Wind-up Magnai,"2,100",29,100,,"2,100",,,,,"-2,100",12 days ago
7566,Minute Mindflayer,"12,595",14,100,,"12,595",,,,,"-12,595",12 days ago
8200,Nana Bear,"16,863",28,100,,"16,863",,,,,"-16,863",13 days ago
9350,Assassin Fry,"87,140",19,100,,"87,140",,,,,"-87,140",13 days ago
23036,Wind-up Zhloe,"1,574",14,100,,"1,574",,,,,"-1,574",14 days ago
20544,Wind-up Khloe,420,34,100,,420,,,,,-420,15 days ago
26801,Tiny Echevore,"212,620",11,100,,"212,620",,,,,"-212,620",16 days ago
36856,Clockwork Novus D,"9,450",56,100,,"9,450",,,,,"-9,450",16 days ago
21055,Wind-up Hien,"1,260",12,100,,"1,260",,,,,"-1,260",16 days ago
33693,Magitek Predator F1,"703,133",6,100,,"703,133",,,,,"-703,133",17 days ago
6003,Cherry Bomb,"4,094",19,100,,"4,094",,,,,"-4,094",17 days ago
21193,Salt & Pepper Seal,945,44,100,,945,,,,,-945,17 days ago
15437,Wind-up Shiva,"4,829",20,100,,"4,829",,,,,"-4,829",18 days ago
14098,Calca,"9,438",20,100,,"9,438",,,,,"-9,438",18 days ago
12069,Gold Rush Minecart,"9,684",7,100,,"9,684",,,,,"-9,684",18 days ago
28620,Mystic Weapon,"68,250",17,100,,"68,250",,,,,"-68,250",18 days ago
36855,Chewy,"211,312",29,100,,"211,312",,,,,"-211,312",19 days ago
6191,Gigantpole,"46,671",14,100,,"46,671",,,,,"-46,671",19 days ago
35973,Optimus Omicron,"505,049",10,100,,"505,049",,,,,"-505,049",20 days ago
35980,Crabe de la Crabe,"104,994",29,100,,"104,994",,,,,"-104,994",21 days ago
32848,Syldrion-class Insubmersible,"6,363",18,100,,"6,363",,,,,"-6,363",21 days ago
12061,Gestahl,"14,700",16,5.3,,"14,700","13,999","13,999","41,997",3,-701,22 days ago
8205,Naughty Nanka,999,21,100,,999,,,,,-999,22 days ago
35970,Flag,"5,195",58,100,,"5,195",,,,,"-5,195",22 days ago
6213,Wind-up Airship,60,14,100,,60,,,,,-60,22 days ago
30873,Allagan Melon,150,31,4.4,,150,358,499,"2,510",7,208,22 days ago
30876,Dainsleif F1,347,18,100,,347,,,,,-347,22 days ago
33695,Benben Stone,"50,000",16,8,,"50,000","49,250","49,300","98,500",2,-750,22 days ago
39476,Suzusaurus,"591,999",16,100,,"591,999",,,,,"-591,999",22 days ago
28618,Bacon Bits,"8,925,000",7,100,,"8,925,000",,,,,"-8,925,000",22 days ago
8201,Miniature Minecart,"4,199",24,4,,"4,199","11,526","9,763","69,157",6,"7,327",24 days ago
16573,Wind-up Edda,263,21,4.2,,263,135,250,679,5,-128,24 days ago
20547,Wind-up Bismarck,95,27,100,,95,,,,,-95,25 days ago
28628,Cerberpup,"236,249",6,1,,"236,249","203,295","221,000","1,219,772",6,"-32,954",25 days ago
23027,Copycat Bulb,"15,749,998",5,5,,"15,749,998","14,999,999","14,999,999","14,999,999",1,"-749,999",25 days ago
28626,Little Leannan,"986,013",9,100,,"986,013",,,,,"-986,013",25 days ago
32857,Trike,"7,349",32,5.3,,"7,349","7,898","6,800","47,391",6,549,25 days ago
24635,Conditional Virtue,"918,749",9,3,,"918,749","853,265","854,899","2,559,797",3,"-65,484",25 days ago
23030,Wind-up Sadu,"2,414",23,2.3,,"2,414","1,829","2,299","18,290",10,-585,26 days ago
20525,Odder Otter,"2,089",33,1.5,,"2,089","2,240","1,990","49,286",22,151,27 days ago
38451,Sponge Silkie,"945,000",1,0.1,,"945,000","214,791","279,998","2,147,911",10,"-730,209",27 days ago
39482,Bantam Train,"899,350",9,2.2,,"899,350","1,077,848","899,559","4,311,392",4,"178,498",27 days ago
33691,Anteater,"5,250,000",9,100,,"5,250,000",,,,,"-5,250,000",27 days ago
6192,Pudgy Puk,419,39,3,,419,454,435,"5,905",13,35,28 days ago
21911,White Whittret,"1,113",37,2.3,,"1,113","1,018","1,060","16,292",16,-95,28 days ago
9348,Littlefoot,"34,545",20,2.9,,"34,545","41,285","32,998","288,995",7,"6,740",28 days ago
12051,Atrophied Atomos,"94,561",14,2,,"94,561","84,888","90,050","594,220",7,"-9,673",28 days ago
12057,Page 63,"12,390",15,1.7,,"12,390","7,839","11,997","70,557",9,"-4,551",28 days ago
21057,Wind-up Ravana,368,17,3.4,,368,498,398,"2,493",5,130,28 days ago
20546,Wind-up Lakshmi,210,43,3.9,,210,207,230,"2,278",11,-3,28 days ago
7564,Baby Opo-opo,"12,600",21,2.1,,"12,600","14,545","14,000","145,451",10,"1,945",28 days ago
6188,Tiny Bulb,"4,829",33,2.4,,"4,829","5,101","4,767","71,418",14,272,28 days ago
38450,Pterosquirrel,"5,355,000",6,3,,"5,355,000","5,639,997","5,279,999","11,279,994",2,"284,997",28 days ago
24640,Yukinko Snowflake,"650,965",7,1.4,,"650,965","302,399","400,000","1,511,999",5,"-348,566",29 days ago
21917,Wind-up Mithra,63,33,2.8,,63,90,97,"1,086",12,27,29 days ago
20541,Magitek Avenger F1,271,43,3.1,,271,582,200,"8,149",14,311,1 month ago
6200,Wind-up Aldgoat,"31,437",22,4.4,,"31,437","45,409","29,945","227,047",5,"13,972",1 month ago
26806,Forgiven Hate,"323,882",8,8,,"323,882","309,999","309,999","309,999",1,"-13,883",1 month ago
12052,Owlet,"24,149",12,1.7,,"24,149","19,572","22,990","137,010",7,"-4,577",1 month ago
32856,Drippy,"944,994",5,1,,"944,994","698,391","700,000","3,491,959",5,"-246,603",1 month ago
6198,Fledgling Dodo,396,26,3.7,,396,357,400,"2,499",7,-39,1 month ago
8199,Tiny Tapir,"26,252",18,1.2,,"26,252","23,454","25,000","351,819",15,"-2,798",1 month ago
6187,Baby Bat,"11,549",26,2.6,,"11,549","9,994","11,001","99,949",10,"-1,555",1 month ago
24001,Dhalmel Calf,473,23,3.8,,473,478,420,"2,868",6,5,1 month ago
20536,Mock-up Grynewaht,126,34,3.8,,126,183,100,"1,650",9,57,1 month ago
9347,Fat Cat,"259,316",26,1.6,,"259,316","271,673","246,966","4,346,768",16,"12,357",1 month ago
35974,Wind-up Anima,"209,999",15,5,,"209,999","193,333","200,000","579,999",3,"-16,666",1 month ago
21921,Aurelia Polyp,"13,430",44,100,,"13,430",,,,,"-13,430",1 month ago
38452,Sewer Skink,"314,994",10,2,,"314,994","311,803","300,000","1,559,019",5,"-3,191",1 month ago
12056,Lesser Panda,"78,750",11,0.8,,"78,750","74,645","75,000","970,388",13,"-4,105",1 month ago
15440,Calamari,"79,795",22,1.8,,"79,795","68,082","75,994","816,992",12,"-11,713",1 month ago
17525,Bullpup,"21,483",20,1.8,,"21,483","13,414","18,989","147,554",11,"-8,069",1 month ago
26803,Shoebill,"1,732,500",3,0.5,,"1,732,500","466,485","35,134","2,798,910",6,"-1,266,015",1 month ago
21919,The Prince of Anemos,124,27,5.4,,124,116,118,580,5,-8,1 month ago
35981,Prince Lunatender,"330,749",1,0.2,,"330,749","317,247","319,060","1,586,236",5,"-13,502",1 month ago
24903,Hedgehoglet,420,3,0.3,,420,"14,947",789,"149,476",10,"14,527",1 month ago
6208,Slime Puddle,600,13,0.6,,600,"1,119",600,"22,382",20,519,1 month ago
6205,Demon Brick,"4,000",12,0.6,,"4,000","4,842","3,500","96,850",20,842,1 month ago
6209,Kidragora,360,32,2.1,,360,380,100,"5,701",15,20,1 month ago
6199,Coblyn Larva,300,22,1.5,,300,657,350,"9,857",15,357,1 month ago
23998,Mudpie,522,25,5,,522,489,495,"2,448",5,-33,1 month ago
33696,Wanderer's Campfire,"19,000",1,0.1,,"19,000","18,455","18,995","369,113",20,-545,1 month ago
6214,Wind-up Qiqirn,"15,000",10,0.6,,"15,000","14,947","15,879","239,156",16,-53,1 month ago
7568,Magic Broom,"30,000",22,1.5,,"30,000","36,155","24,000","542,325",15,"6,155",2 months ago
6195,Smallshell,949,22,1.1,,949,760,"1,000","15,200",20,-189,2 months ago
20542,Ghido,899,52,2.6,,899,"1,528",295,"30,564",20,629,2 months ago
36854,Teacup Kapikulu,"64,498",17,1.2,,"64,498","58,160","64,000","814,247",14,"-6,338",2 months ago
35987,Wind-up Grebuloff,"27,998",16,0.8,,"27,998","27,024","27,997","540,495",20,-974,2 months ago
35984,Adventure Basket,"74,699",3,0.3,,"74,699","74,688","74,500","672,199",9,-11,2 months ago
35977,Brave New Urianger,"1,000,000",2,1,,"1,000,000","666,666","1,000,000","1,333,333",2,"-333,334",2 months ago
32858,Golden Beaver,,0,100,,,,,,,,2 months ago
30875,Petit Pteranodon,"59,981",11,0.8,,"59,981","59,985","59,979","779,807",13,4,2 months ago
30874,Sand Fox,"8,399,990",10,10,,"8,399,990","8,399,980","8,399,980","8,399,980",1,-10,2 months ago
30872,Ephemeral Necromancer,"795,000",27,13.5,,"795,000","650,000","800,000","1,300,000",2,"-145,000",2 months ago
30096,Ancient One,"1,799,998",9,4.5,,"1,799,998","1,924,999","1,899,999","3,849,999",2,"125,001",2 months ago
30093,Silver Dasher,"34,999",21,2.3,,"34,999","39,710","30,000","357,398",9,"4,711",2 months ago
28627,Wind-up Hobgoblin,"673,000",2,1,,"673,000","586,500","500,000","1,173,000",2,"-86,500",2 months ago
28621,Meerkat,"56,700",18,1.8,,"56,700","56,309","56,797","563,092",10,-391,2 months ago
26802,Sharksucker-class Insubmersible,"9,999",27,1.4,,"9,999","9,753","9,999","195,072",20,-246,2 months ago
26798,Wind-up Omega-M,"439,000",4,2,,"439,000","442,000","439,000","884,000",2,"3,000",2 months ago
26790,Armadillo Bowler,"289,998",3,1,,"289,998","272,352","289,997","817,057",3,"-17,646",2 months ago
26793,Clionid Larva,,0,100,,,,,,,,2 months ago
24639,Wind-up Weapon,823,31,2.1,,823,"2,567",820,"38,507",15,"1,744",2 months ago
24002,Capybara Pup,"29,340",18,1.4,,"29,340","31,251","29,359","406,270",13,"1,911",2 months ago
23032,Monkey King,430,22,1.1,,430,300,430,"6,005",20,-130,2 months ago
21920,Byakko Cub,"1,401",37,1.9,,"1,401","2,103","1,500","42,061",20,702,2 months ago
21064,Koala Joey,"1,750",29,1.5,,"1,750","2,233","1,990","44,677",20,483,2 months ago
21063,Axolotl Eft,"1,450",25,1.2,,"1,450","1,518","1,997","30,367",20,68,2 months ago
21058,Mameshiba,"5,250",36,1.8,,"5,250","5,177","5,999","103,547",20,-73,2 months ago
20545,Wind-up Susano,560,20,1,,560,758,799,"15,178",20,198,2 months ago
20538,Ivon Coeurlfist Doll,"2,401",34,2.4,,"2,401","3,302","3,255","46,239",14,901,2 months ago
20533,Dress-up Yugiri,"3,500",24,1.2,,"3,500","4,906","3,500","98,139",20,"1,406",2 months ago
20528,Tiny Tatsunoko,959,36,1.8,,959,819,955,"16,386",20,-140,2 months ago
16572,Shaggy Shoat,"8,497",24,1.2,,"8,497","19,714","9,400","394,289",20,"11,217",2 months ago
15447,Dwarf Rabbit,"30,000",21,2.1,,"30,000","90,015","188,817","900,157",10,"60,015",2 months ago
15436,Wind-up Ramuh,"8,994",16,0.9,,"8,994","8,631","8,900","146,741",17,-363,2 months ago
13275,Paissa Brat,"9,999",15,0.8,,"9,999","8,773","9,999","175,479",20,"-1,226",2 months ago
12062,Steam-powered Gobwalker G-VII,"73,874",14,1.8,,"73,874","78,804","69,000","630,434",8,"4,930",2 months ago
12049,Unicolt,"4,900",24,1.2,,"4,900","3,325","4,444","66,509",20,"-1,575",2 months ago
10071,Model Magitek Bit,"23,898",12,0.6,,"23,898","22,102","23,897","442,045",20,"-1,796",2 months ago
8195,Tomato King,"20,050",20,1.2,,"20,050","18,221","20,049","309,769",17,"-1,829",2 months ago
6184,Wind-up Tonberry,"159,068",5,0.2,,"159,068","91,328","116,898","1,826,575",20,"-67,740",2 months ago
6190,Wind-up Dullahan,"7,500",25,1.3,,"7,500","10,648","7,777","202,315",19,"3,148",2 months ago
6186,Baby Raptor,"9,000",44,2.2,,"9,000","9,913","8,500","198,271",20,913,2 months ago
6177,Bluebird,"39,900",24,1.4,,"39,900","40,357","39,980","686,083",17,457,2 months ago
20530,Bom Boko,500,31,1.5,,500,536,475,"10,722",20,36,3 months ago
24902,Abroader Otter,"1,299",38,1.9,,"1,299","1,055","1,298","21,116",20,-244,5 months ago
6175,Baby Bun,"7,999",10,0.5,,"7,999","7,416","7,998","148,329",20,-583,5 months ago
6004,Mammet #001,"1,298",17,0.9,,"1,298",774,980,"15,492",20,-524,6 months ago
20539,Wind-up Chimera,"5,800",26,1.3,,"5,800","5,569","5,989","111,387",20,-231,6 months ago
15441,Baby Brachiosaur,"27,000",21,1.9,,"27,000","31,516","25,000","346,676",11,"4,516",6 months ago
13279,Hunting Hawk,"35,000",11,0.7,,"35,000","54,186","34,999","866,982",16,"19,186",6 months ago
12054,Gaelikitten,"9,499",24,1.2,,"9,499","13,501","9,000","270,038",20,"4,002",6 months ago
6203,Bite-sized Pudding,"4,000",36,1.8,,"4,000","6,906","3,999","138,134",20,"2,906",6 months ago
21065,Wind-up Shinryu,"2,200",25,1.2,,"2,200","1,951","2,395","39,028",20,-249,7 months ago
23028,Wind-up Tarutaru,"7,500",25,1.6,,"7,500","7,682","7,000","122,919",16,182,8 months ago
12058,Iron Dwarf,"30,420",16,1.1,,"30,420","30,267","30,420","423,741",14,-153,8 months ago
12055,Clockwork Barrow,"15,999",18,1.2,,"15,999","16,148","16,000","242,234",15,149,8 months ago
20529,Bombfish,540,20,0.8,,540,311,500,"7,790",25,-229,8 months ago
6179,Infant Imp,"15,069",10,0.6,,"15,069","12,313","18,049","209,322",17,"-2,756",9 months ago
6005,Wayward Hatchling,"1,889",23,2.9,,"1,889","1,369","1,500","10,959",8,-520,9 months ago